coordinates;color;speed_limit;current_speed
[(8.6864736, 45.9637386), (8.6869988, 45.9642213), (8.6871785, 45.9643733), (8.6880196, 45.9650849), (8.688694, 45.9656464), (8.6892406, 45.9659467), (8.6895685, 45.9660651), (8.6902487, 45.9663106), (8.6911866, 45.9666491), (8.6926191, 45.9672283), (8.6938114, 45.9678927), (8.6948976, 45.9685262), (8.6952842, 45.9688211), (8.6956208, 45.9691471), (8.6959414, 45.9693968), (8.6976129, 45.9706985), (8.6986839, 45.9712721), (8.6993969, 45.9717248), (8.6995188, 45.9718034)];green;50;55.0
[(8.6859075, 45.9630699), (8.6862436, 45.9634836), (8.6863266, 45.9635857)];green;50;54.0
[(8.6849096, 45.9626339), (8.6856024, 45.9628928), (8.6859075, 45.9630699)];green;50;55.0
[(8.6863266, 45.9635857), (8.6864736, 45.9637386)];green;50;54.0
[(8.6846136, 45.9625553), (8.6847244, 45.9625889), (8.6849096, 45.9626339)];green;50;54.0
[(8.6818089, 45.9627171), (8.6822101, 45.9627341), (8.6824814, 45.962697), (8.6827397, 45.9626234), (8.6828977, 45.9625781), (8.6829246, 45.9625727), (8.6833255, 45.9624926), (8.6835119, 45.9624576), (8.6837236, 45.9624351), (8.6840119, 45.9624571), (8.6841868, 45.9624822), (8.6842732, 45.9624946), (8.6844561, 45.9625209), (8.6846136, 45.9625553)];green;30;55.0
[(8.6997077, 45.9719326), (8.6999318, 45.9720779), (8.700645, 45.9726445), (8.7017247, 45.973408), (8.7021326, 45.9736027), (8.7025707, 45.9738094), (8.7026317, 45.9738384), (8.7028113, 45.9739236), (8.7034435, 45.9741719), (8.7040477, 45.9744887), (8.7052484, 45.9752041), (8.7056103, 45.9754538), (8.7056778, 45.9755433), (8.7060315, 45.9760125), (8.7061649, 45.9761765), (8.7062116, 45.9762339), (8.7063623, 45.976369), (8.7063812, 45.9763861)];green;50;55.0
[(8.6995188, 45.9718034), (8.6997077, 45.9719326)];green;50;54.0
[(8.6864736, 45.9637386), (8.6869988, 45.9642213), (8.6871785, 45.9643733), (8.6880196, 45.9650849), (8.688694, 45.9656464), (8.6892406, 45.9659467), (8.6895685, 45.9660651), (8.6902487, 45.9663106), (8.6911866, 45.9666491), (8.6926191, 45.9672283), (8.6938114, 45.9678927), (8.6948976, 45.9685262), (8.6952842, 45.9688211), (8.6956208, 45.9691471), (8.6959414, 45.9693968), (8.6976129, 45.9706985), (8.6986839, 45.9712721), (8.6993969, 45.9717248), (8.6995188, 45.9718034)];green;50;55.0
[(8.6859075, 45.9630699), (8.6862436, 45.9634836), (8.6863266, 45.9635857)];green;50;54.0
[(8.6849096, 45.9626339), (8.6856024, 45.9628928), (8.6859075, 45.9630699)];green;50;55.0
[(8.6863266, 45.9635857), (8.6864736, 45.9637386)];green;50;54.0
[(8.6846136, 45.9625553), (8.6847244, 45.9625889), (8.6849096, 45.9626339)];green;50;54.0
[(8.6818089, 45.9627171), (8.6822101, 45.9627341), (8.6824814, 45.962697), (8.6827397, 45.9626234), (8.6828977, 45.9625781), (8.6829246, 45.9625727), (8.6833255, 45.9624926), (8.6835119, 45.9624576), (8.6837236, 45.9624351), (8.6840119, 45.9624571), (8.6841868, 45.9624822), (8.6842732, 45.9624946), (8.6844561, 45.9625209), (8.6846136, 45.9625553)];green;30;55.0
[(8.6997077, 45.9719326), (8.6999318, 45.9720779), (8.700645, 45.9726445), (8.7017247, 45.973408), (8.7021326, 45.9736027), (8.7025707, 45.9738094), (8.7026317, 45.9738384), (8.7028113, 45.9739236), (8.7034435, 45.9741719), (8.7040477, 45.9744887), (8.7052484, 45.9752041), (8.7056103, 45.9754538), (8.7056778, 45.9755433), (8.7060315, 45.9760125), (8.7061649, 45.9761765), (8.7062116, 45.9762339), (8.7063623, 45.976369), (8.7063812, 45.9763861)];green;50;55.0
[(8.6995188, 45.9718034), (8.6997077, 45.9719326)];green;50;54.0
[(8.6791121, 45.9609645), (8.6792626, 45.9609725), (8.6794647, 45.9610014), (8.6795794, 45.9610282)];green;50;55.0
[(8.6864736, 45.9637386), (8.6869988, 45.9642213), (8.6871785, 45.9643733), (8.6880196, 45.9650849), (8.688694, 45.9656464), (8.6892406, 45.9659467), (8.6895685, 45.9660651), (8.6902487, 45.9663106), (8.6911866, 45.9666491), (8.6926191, 45.9672283), (8.6938114, 45.9678927), (8.6948976, 45.9685262), (8.6952842, 45.9688211), (8.6956208, 45.9691471), (8.6959414, 45.9693968), (8.6976129, 45.9706985), (8.6986839, 45.9712721), (8.6993969, 45.9717248), (8.6995188, 45.9718034)];green;50;55.0
[(8.6823995, 45.9567597), (8.6822889, 45.9565867), (8.6816494, 45.9561938)];green;50;55.0
[(8.6859075, 45.9630699), (8.6862436, 45.9634836), (8.6863266, 45.9635857)];green;50;54.0
[(8.6849096, 45.9626339), (8.6856024, 45.9628928), (8.6859075, 45.9630699)];green;50;55.0
