coordinates;speed_limit;00_30;01_00;02_30;03_00
[(8.8542646, 46.2018753), (8.854375, 46.2019726), (8.8545004, 46.2020486), (8.8546566, 46.2021063), (8.8549241, 46.202173), (8.8551984, 46.2022102), (8.8555469, 46.2022341), (8.8562713, 46.2021861), (8.8568131, 46.2021471), (8.8573466, 46.2021652), (8.8576305, 46.2022138), (8.8579503, 46.2023049), (8.8581956, 46.2024345), (8.8583466, 46.2025888), (8.8584412, 46.2027282), (8.8585028, 46.2029342), (8.8584968, 46.2031068), (8.8584612, 46.2032512), (8.8583757, 46.2034226)];80;49;49;49;49
[(8.8492402, 46.1926291), (8.849333, 46.1926155), (8.8493957, 46.1925907), (8.8494531, 46.1925561), (8.8494678, 46.1925162), (8.8494498, 46.1924715), (8.8494082, 46.1924474), (8.8493284, 46.1924336), (8.8491366, 46.192415), (8.8489658, 46.1923889), (8.8488168, 46.1923583), (8.8486753, 46.1923148)];30;49;49;49;49
[(8.8612373, 46.2197544), (8.8612917, 46.2198449), (8.8613293, 46.2199303), (8.8613487, 46.2200483), (8.8613453, 46.2201994), (8.8612944, 46.220359), (8.8612387, 46.2204667), (8.8611495, 46.2205631), (8.8610229, 46.2206512), (8.8608585, 46.2207385), (8.8605601, 46.220875), (8.8598184, 46.2211515)];80;49;49;49;49
[(8.857527, 46.2049215), (8.8575004, 46.2049984), (8.8574857, 46.205093), (8.8574963, 46.2051769), (8.8575223, 46.2052765), (8.8585244, 46.207052), (8.8585599, 46.2071405), (8.8585778, 46.2072137), (8.8585787, 46.2072927), (8.8585696, 46.2073551), (8.8585275, 46.20746), (8.8583185, 46.2078524), (8.8582804, 46.2079365), (8.8582635, 46.208012), (8.8582629, 46.2080861), (8.8582796, 46.2081531), (8.8583366, 46.20826), (8.8583989, 46.2083257), (8.8584776, 46.208382), (8.8585746, 46.2084278), (8.858692, 46.2084617), (8.8588335, 46.2084881), (8.8592733, 46.2085336), (8.8593918, 46.2085484)];80;49;49;49;49
[(8.5582218, 46.5809325), (8.5582048, 46.5808364), (8.5582027, 46.5807459), (8.5582229, 46.5805458), (8.5582673, 46.5801836), (8.5582665, 46.5800565), (8.5582584, 46.5799406), (8.5582302, 46.5797689), (8.5580469, 46.5789158), (8.5580264, 46.5788001), (8.5580174, 46.5786925), (8.5580274, 46.5785755), (8.5580479, 46.5784839), (8.5580913, 46.578389), (8.5581502, 46.5782868), (8.5582281, 46.5781968), (8.5583389, 46.5780949), (8.5586748, 46.5778425), (8.5587972, 46.5777489), (8.5588432, 46.5777029), (8.5588814, 46.5776569), (8.5589153, 46.5776075), (8.5589364, 46.5775583), (8.5589498, 46.5775059), (8.5589566, 46.577457), (8.5589572, 46.5774006), (8.5589453, 46.5773511), (8.5589303, 46.5772984), (8.5588362, 46.5770667), (8.5586773, 46.5767407), (8.5583831, 46.5760779), (8.5582674, 46.5758223), (8.5582392, 46.5756952), (8.5582506, 46.5755846), (8.5582799, 46.5754888), (8.5583232, 46.5754034), (8.5583948, 46.5753083), (8.5584931, 46.5752307), (8.5586232, 46.5751504), (8.559255, 46.5748104), (8.5593353, 46.5747486), (8.559399, 46.5746761), (8.5594428, 46.5745861), (8.55946, 46.5745098), (8.5594597, 46.5744256), (8.5594222, 46.5743262), (8.5593648, 46.5742346), (8.559263, 46.5740771), (8.5586818, 46.5732252), (8.5585669, 46.573032), (8.558476, 46.572857), (8.5582965, 46.5724493)];80;0;0;0;0
[(8.940506, 46.4549447), (8.9403546, 46.4549077), (8.9402061, 46.4548616), (8.9401198, 46.4548279), (8.94004, 46.4547887), (8.9399737, 46.4547499), (8.9399114, 46.4547009), (8.9398649, 46.4546542), (8.9398238, 46.4546039), (8.9397986, 46.4545626)];50;53;53;53;53
[(8.9287827, 46.0685891), (8.928685, 46.0680586), (8.9285885, 46.0675395), (8.9283194, 46.0664303), (8.9281726, 46.0658727)];100;111;111;111;111
[(8.6133841, 46.5284673), (8.6131349, 46.5285008), (8.6129459, 46.5285243), (8.6128104, 46.5285399), (8.6124183, 46.528592)];50;55;55;55;55
[(9.0416299, 46.2209985), (9.0417734, 46.2210473), (9.042092, 46.2211113), (9.0422556, 46.2211399), (9.04246, 46.2211736), (9.0425983, 46.2211962), (9.0428315, 46.2212314)];120;102;102;102;102
[(8.9844868, 45.912988), (8.9843262, 45.9125477), (8.9842567, 45.9123395), (8.9841883, 45.9121194), (8.9841209, 45.9118769), (8.984058, 45.9115832), (8.9840091, 45.9112934), (8.9839774, 45.9110261), (8.9839578, 45.9108123), (8.9839403, 45.9104867), (8.9839193, 45.9097545), (8.9839088, 45.9095195), (8.9838862, 45.909183), (8.9838579, 45.9089271), (8.9838125, 45.9086528), (8.9837609, 45.9084186), (8.9836823, 45.9081321), (8.9836383, 45.9079921), (8.9835843, 45.9078368)];120;101;101;101;101
